基金经理(最近连续最长任职)
CHEN JUDY(陈修竹)
FANG SHENSHEN
HAN YILING
IKEDA KAE
LIU DONG(刘冬)
WANG AO
Yi Xie
艾邦妮
艾定飞
艾小军
安昀
白冰洋
白洁
白鹏
白严
白玉
柏杨
包兵华
包佳敏
包剑
包恺
包丽华
包斅文
包正钰
薄官辉
薄玉
鲍杰
鲍武斌
鲍宇晨
鲍越愚
贲兴振
毕凯
毕天宇
毕子男
边慧
卞竑
卞正
蔡宾
蔡滨
蔡丞丰
蔡春红
蔡丹
蔡凤仪
蔡国栋
蔡健林
蔡军华
蔡卡尔
蔡目荣
蔡强
蔡青
蔡荣成
蔡唯峰
蔡晓
蔡艳菲
蔡熠阳
蔡宇滨
蔡振
蔡志鹏
蔡志伟
蔡志文
藏海涛
操昭煦
曹春林
曹芙蓉
曹建华
曹建文
曹晋
曹晋文
曹璐迪
曹敏
曹诗扬
曹世宇
曹思
曹文俊
曹阳
曹勇志
曹张琪
曹治国
曹紫寒
曾刚
曾国富
曾豪
曾鸿
曾华
曾辉
曾健飞
曾捷
曾理
曾丽琼
曾鹏
曾省强
曾婷婷
曾琬云
曾文宏
曾小丽
曾新杰
曾雪兰
查晓磊
柴文婷
常璐
常亚桥
常蓁
车广路
车日楠
陈保国
陈伯祯
陈博
陈臣
陈晨
陈聪
陈大烨
陈丹琳
陈迪
陈栋
陈芳菲
陈飞
陈富权
陈亘斯
陈顾君
陈桂都
陈国峰
陈涵
陈浩宇
陈皓
陈恒
陈怀逸
陈会荣
陈佶
陈纪靖
陈加荣
陈佳昀
陈建华
陈建军
陈建良
陈健宾
陈健玮
陈杰
陈金伟
陈静
陈俊华
陈凯杨
陈岚
陈乐
陈雷
陈黎
陈李
陈立
陈利
陈连权
陈良栋
陈梁
陈亮
陈列江
陈龙
陈蒙
陈旻
陈敏
陈铭杰
陈鹏
陈鹏扬
陈平
陈奇
陈祺伟
陈启明
陈桥宁
陈泉宏
陈若劲
陈少平
陈双双
陈硕
陈思
陈思行
陈思靖
陈思余
陈思郁
陈斯扬
陈嵩昆
陈涛
陈威霖
陈伟
陈伟斌
陈伟彦
陈玮
陈文
陈文凯
陈文扬
陈西铭
陈西中
陈希希
陈曦
陈夏琼
陈潇扬
陈晓
陈薪羽
陈旭
陈璇淼
陈言一
陈衍鹏
陈瑶
陈一峰
陈怡
陈义进
陈异
陈轶平
陈奕雯
陈莹
陈颖
陈宇
陈育洁
陈元骅
陈媛
陈悦
陈贇
陈韫慧
陈韫中
陈韵骋
陈臻迪
陈振宇
陈志华
陈志伟
陈钟闻
陈子扬
陈宗超
成皓
成念良
成琦
成涛
成曦
成雨轩
成子浩
程放
程嘉伟
程剑
程琨
程敏
程明
程仕湘
程书峰
程涛
程涛涛
程同朦
程瑶
程逸飞
程桯
程彧
程媛媛
程洲
程竹成
程卓
池陈森
储可凡
储乐延
储雯玉
褚艳辉
崔宸龙
崔飞燕
崔古昕
崔建波
崔蕾
崔书田
崔思维
崔涛
崔长峰
崔志鹏
寸思敏
笪篁
代宏坤
代鹏举
代瑞亮
代毅
代宇
代云锋
戴钢
戴弘毅
戴计辉
戴杰
戴军
戴骏
单柏霖
单宽之
单坤
单林
单文
单秀丽
党伟
邓达
邓栋
邓敬东
邓炯鹏
邓娟
邓凯成
邓力恒
邓明明
邓默
邓时锋
邓童
邓翔
邓心怡
邓岳
邓子威
丁杰科
丁进
丁靖斐
丁凯琳
丁琳
丁鹏飞
丁锐
丁士恒
丁孙楠
丁天宇
丁巍
丁小丹
丁杨
丁宇佳
董超
董辰
董福焱
董晗
董浩
董季周
董瑾
董理
董梁
董霖哲
董鎏洋
董清源
董珊珊
董伟炜
董一平
董治国
杜才超
杜才鸣
杜超
杜聪
杜广
杜国昊
杜浩然
杜厚良
杜钧天
杜磊
杜猛
杜培俊
杜沛
杜朋哲
杜伟
杜文歌
杜晓海
杜旭
杜洋
杜哲
端时立
段博卿
段吉华
段鹏
段涛
段伟良
恩学海
樊力谨
樊鑫
樊亚筠
樊艳
樊勇
范刚强
范贵龙
范佳瓅
范驾云
范洁
范晶伟
范静
范明月
范锐
范泰奇
范庭芳
范万里
范昕
范妍
范杨
范义
方岑
方昶
方晗
方建
方抗
方昆明
方莉
方旻
方锐
方伟
方纬
方一航
方宇翔
方玉冰
方媛
房建威
房俊一
房雷
房天浩
费馨涵
费逸
丰晨成
封晴
冯彬
冯波
冯骋
冯达
冯帆
冯福章
冯汉杰
冯翰尊
冯焕
冯佳
冯杰波
冯炉丹
冯明远
冯瑞玲
冯思源
冯玺祥
冯小波
冯自力
付倍佳
付斌
付娟
付伟
付裕
傅芳芳
傅浩
傅洪哲
傅鹏博
傅瑶纯
傅奕翔
傅友兴
傅煜清
盖俊龙
甘传琦
甘信宇
甘源
刚登峰
高兵
高琛
高崇南
高春梅
高德勇
高钢杰
高晗
高洁
高兰君
高懋
高楠
高鹏
高鹏飞
高群山
高睿
高圣
高诗
高文庆
高喜阳
高翔
高鑫
高兴坤
高延龙
高燕芸
高扬
高钥群
高义
高莺
高永
高勇标
高源
高远
高峥
高志刚
郜哲
葛佳
葛兰
葛鲁禹
葛沁沁
葛山
葛曦
耿家琛
耿嘉洲
耿帅军
宫正
宫志芳
龚超
龚德伟
龚克寒
龚丽丽
龚美若
龚涛
龚霄
古渥
谷超
谷衡
谷青春
顾凡丁
顾飞辰
顾弘原
顾柔刚
顾伟
顾昕
顾鑫峰
顾耀强
顾钰
顾喆彬
关键
关鹏
关山
关旭
观富钦
官泽帆
管嘉琪
管悦
管志玉
归凯
桂跃强
桂征辉
郭澄
郭斐
郭画
郭卉
郭建新
郭杰
郭康斌
郭堃
郭琳
郭敏
郭乃幸
郭锐
郭若
郭思洁
郭思捷
郭玮羚
郭相博
郭晓晖
郭晓林
郭新宇
郭雪松
郭益均
郭毅
郭昀松
郭振宇
郭镇岳
郭志斌
郭志红
郭志腾
郭智
郭子琨
过蓓蓓
过钧
哈默
